  %CPU   %USR   %SYS   PID S  CPU   Time Task
355.00 223.00 132.00  6545 S    4  4.88m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
1071.00 632.00 439.00  6545 S    4  5.06m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
364.00 239.00 125.00  6545 S    4  5.12m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
361.00 225.00 136.00  6545 S    4  5.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
390.00 251.00 139.00  6545 S    4  5.24m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
368.00 226.00 142.00  6545 S    4  5.30m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
380.00 223.00 157.00  6545 S    4  5.37m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
401.00 242.00 159.00  6545 S    4  5.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
355.00 214.00 141.00  6545 S    4  5.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
352.00 207.00 145.00  6545 S    4  5.55m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
348.00 196.00 152.00  6545 S    4  5.61m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
349.00 212.00 137.00  6545 S    4  5.67m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
356.00 214.00 142.00  6545 S    4  5.73m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
363.00 210.00 153.00  6545 S    4  5.79m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
402.00 257.00 145.00  6545 S    4  5.85m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
419.00 290.00 129.00  6545 S    4  5.92m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
369.00 226.00 143.00  6545 S    4  5.98m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
384.00 237.00 147.00  6545 S    4  6.05m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
356.00 210.00 146.00  6545 S    4  6.11m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
446.00 235.00 211.00  6545 S    4  6.18m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
470.00 265.00 205.00  6545 S    4  6.26m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
213.00 186.00  27.00  6545 S    4  6.30m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
592.00 467.00 125.00  6545 S    4  6.39m java

