  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  2.00   2.00   0.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   4.00   0.00  1242 S    1  1.39m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00  12.00   2.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   6.00   2.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.40m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.41m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   8.00   0.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00  13.00   0.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   6.00   2.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.42m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   9.00   1.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 13.00  13.00   0.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.43m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 15.00  14.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   4.00   1.00  1242 S    1  1.44m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 12.00  11.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00  13.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 10.00   9.00   1.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.45m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   3.00   2.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 14.00  12.00   2.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   7.00   2.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  4.00   3.00   1.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   5.00   1.00  1242 S    1  1.46m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  9.00   8.00   1.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.47m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 12.00  12.00   0.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 11.00  11.00   0.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 18.00  17.00   1.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.48m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   5.00   2.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  5.00   5.00   0.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   3.00   0.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  8.00   7.00   1.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  3.00   2.00   1.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.49m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   7.00   0.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  6.00   6.00   0.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
  7.00   6.00   1.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CPU   Time Task
 16.00  15.00   1.00  1242 S    1  1.50m java

  %CPU   %USR   %SYS   PID S  CP
